indicator_id,indicator,year,value,unit,source,processing_method,data_quality
NY.GDP.MKTP.CD,"GDP, current US$",2010,16002656434.4746,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2011,21573872420.7008,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2012,21703100877.1309,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2013,22162204924.5726,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2014,22731612922.1906,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2015,24360801286.7638,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2016,24524109483.5293,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2017,28971588940.364,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2018,33111525237.149,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2019,34186180699.0255,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2020,33433659301.2466,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
NY.GDP.MKTP.CD,"GDP, current US$",2021,36924841394.2605,current US$,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
